,category,medicine_name,therapeutic_area,common_name,active_substance,patient_safety,authorisation_status,additional_monitoring,generic,biosimilar,conditional_approval,exceptional_circumstances,accelerated_assessment,orphan_medicine,marketing_authorisation_holder_company_name,pharmacotherapeutic_group,revision_number
34,human,Edistride,"Diabetes Mellitus, Type 2;  Heart Failure, Systolic;  Heart Failure;  Renal Insufficiency, Chronic",dapagliflozin,dapagliflozin propanediol monohydrate,False,authorised,False,False,False,False,False,False,False,AstraZeneca AB,Drugs used in diabetes,21.0
35,human,Forxiga,"Diabetes Mellitus, Type 2;  Heart Failure, Systolic;  Heart Failure;  Renal Insufficiency, Chronic",dapagliflozin,dapagliflozin propanediol monohydrate,False,authorised,False,False,False,False,False,False,False,AstraZeneca AB,Drugs used in diabetes,27.0
36,human,Empliciti,Multiple Myeloma,elotuzumab,elotuzumab,False,authorised,False,False,False,False,False,True,False,Bristol-Myers Squibb Pharma EEIG,Antineoplastic agents,11.0
37,human,Ebymect,"Diabetes Mellitus, Type 2","dapagliflozin, metformin","dapagliflozin propanediol monohydrate, metformin hydrochloride",False,authorised,False,False,False,False,False,False,False,AstraZeneca AB,Drugs used in diabetes,18.0
38,human,Calquence,"Leukemia, Lymphocytic, Chronic, B-Cell",acalabrutinib,acalabrutinib,False,authorised,True,False,False,False,False,False,False,AstraZeneca AB,"Antineoplastic agents, protein kinase inhibitors,",4.0
39,human,Temozolomide Sandoz,Glioma;  Glioblastoma,temozolomide,temozolomide,False,withdrawn,False,True,False,False,False,False,False,Sandoz GmbH,Antineoplastic agents,17.0
40,human,Xigduo,"Diabetes Mellitus, Type 2","dapagliflozin, metformin","metformin hydrochloride, dapagliflozin propanediol monohydrate",False,authorised,False,False,False,False,False,False,False,AstraZeneca AB,"Drugs used in diabetes, Combinations of oral blood glucose lowering drugs",19.0
41,human,Inhixa,Venous Thromboembolism,enoxaparin sodium,enoxaparin sodium,False,authorised,False,False,True,False,False,False,False,Techdow Pharma Netherlands B.V. ,Antithrombotic agents,23.0
42,human,Hepsera,"Hepatitis B, Chronic",adefovir dipivoxil,adefovir dipivoxil,False,withdrawn,False,False,False,False,False,False,False,Gilead Sciences Ireland UC,Nucleoside and nucleotide reverse transcriptase inhibitors,27.0
43,human,Viagra,Erectile Dysfunction,sildenafil,sildenafil,False,authorised,False,False,False,False,False,False,False,Upjohn EESV,Urologicals,43.0
44,human,Cayston,Cystic Fibrosis;  Respiratory Tract Infections,aztreonam,aztreonam lysine,False,authorised,False,False,False,False,False,False,False,Gilead Sciences Ireland UC,"Antibacterials for systemic use,",20.0
45,human,Prezista,HIV Infections,darunavir,darunavir,False,authorised,False,False,False,False,False,False,False,Janssen-Cilag International NV,Antivirals for systemic use,54.0
46,human,Mysimba,Obesity;  Overweight,"naltrexone, bupropion","bupropion hydrochloride, naltrexone hydrochloride",False,authorised,True,False,False,False,False,False,False,Orexigen Therapeutics Ireland Limited,"Antiobesity preparations, excl. diet products",24.0
47,human,Efavirenz Teva,HIV Infections,efavirenz,efavirenz,False,authorised,False,True,False,False,False,False,False,Teva B.V.,Antivirals for systemic use,12.0
48,human,Aimovig,Migraine Disorders,erenumab,erenumab,False,authorised,True,False,False,False,False,False,False,Novartis Europharm Limited,Analgesics,9.0
49,human,Revlimid,"Multiple Myeloma;  Lymphoma, Mantle-Cell;  Myelodysplastic Syndromes",lenalidomide,lenalidomide,False,authorised,True,False,False,False,False,False,False,Bristol-Myers Squibb Pharma EEIG,Immunosuppressants,49.0
50,human,Pemazyre,Cholangiocarcinoma,pemigatinib,pemigatinib,False,authorised,True,False,False,True,False,False,True,Incyte Biosciences Distribution B.V.,Antineoplastic agents,5.0
51,human,Imjudo,"Carcinoma, Hepatocellular",tremelimumab,tremelimumab,False,authorised,True,False,False,False,False,False,False,AstraZeneca AB,Antineoplastic agents,
52,human,Scemblix,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",asciminib,asciminib hydrochloride,False,authorised,True,False,False,False,False,False,True,Novartis Europharm Limited,Antineoplastic agents,2.0
53,human,Kogenate Bayer,Hemophilia A,octocog alfa,octocog alfa,False,withdrawn,False,False,False,False,False,False,False,Bayer AG ,Antihemorrhagics,30.0
54,human,Maviret,"Hepatitis C, Chronic","glecaprevir, pibrentasvir","glecaprevir, pibrentasvir",False,authorised,False,False,False,False,False,True,False,AbbVie Deutschland GmbH  Co. KG,Antivirals for systemic use,21.0
55,human,Vyndaqel,Amyloidosis,tafamidis,tafamidis,False,authorised,True,False,False,False,True,False,True,Pfizer Europe MA EEIG,Other nervous system drugs,25.0
56,human,Brintellix,"Depressive Disorder, Major",vortioxetine,vortioxetine,False,authorised,False,False,False,False,False,False,False,H. Lundbeck A/S,"Psychoanaleptics,",21.0
57,human,MenQuadfi,"Meningitis, Meningococcal","meningococcal group a, c, w-135 and y conjugate vaccine","neisseria meningitidis group c polysaccharide conjugated to tetanus toxoid, neisseria meningitidis group a polysaccharide conjugated to tetanus toxoid, neisseria meningitidis group y polysaccharide conjugated to tetanus toxoid, neisseria meningitidis group w-135 polysaccharide conjugated to tetanus toxoid",False,authorised,True,False,False,False,False,False,False,Sanofi Pasteur,"Vaccines,",8.0
58,human,Spravato,Depressive Disorder,esketamine,esketamine hydrochloride,False,authorised,True,False,False,False,False,False,False,Janssen-Cilag International NV,Other antidepressants,7.0
59,human,Comirnaty,COVID-19 virus infection,"tozinameran, riltozinameran and tozinameran, famtozinameran and tozinameran, covid-19 mrna vaccine (nucleoside modified)","single-stranded, 5’-capped messenger rna produced using a cell-free in vitro transcription from the corresponding dna templates, encoding the viral spike (s) protein of sars-cov-2",True,authorised,True,False,False,False,False,False,False,BioNTech Manufacturing GmbH,"Vaccines,",38.0
60,human,Revestive,Malabsorption Syndromes,teduglutide,teduglutide,False,authorised,True,False,False,False,False,False,True,Takeda Pharmaceuticals International AG Ireland Branch,"Other alimentary tract and metabolism products,",21.0
61,human,Entyvio,"Colitis, Ulcerative;  Crohn Disease",vedolizumab,vedolizumab,False,authorised,False,False,False,False,False,False,False,Takeda Pharma A/S,Selective immunosuppressants,23.0
62,human,Cibinqo,"Dermatitis, Atopic",abrocitinib,abrocitinib,True,authorised,True,False,False,False,False,False,False,Pfizer Europe MA EEIG ,Other dermatological preparations,3.0
63,human,Lenvima,Thyroid Neoplasms,lenvatinib,lenvatinib mesilate,False,authorised,True,False,False,False,False,True,False,Eisai GmbH,Antineoplastic agents,17.0
64,human,Onpattro,"Amyloidosis, Familial",patisiran,patisiran sodium,False,authorised,True,False,False,False,False,True,True,Alnylam Netherlands B.V.,Other nervous system drugs,10.0
65,human,Dupixent,"Dermatitis, Atopic;  Prurigo;  Esophageal Diseases;  Asthma;  Sinusitis",dupilumab,dupilumab,False,authorised,False,False,False,False,False,False,False,Sanofi Winthrop Industrie,"Agents for dermatitis, excluding corticosteroids",22.0
66,human,Hemgenix,Hemophilia B,etranacogene dezaparvovec,etranacogene dezaparvovec,False,authorised,True,False,False,True,False,False,True,CSL Behring GmbH,Other hematological agents,
67,human,Ayvakyt,Gastrointestinal Stromal Tumors,avapritinib,avapritinib,False,authorised,True,False,False,True,False,False,True,Blueprint Medicines (Netherlands) B.V.,"Other antineoplastic agents, Protein kinase inhibitors",5.0
68,human,Ivabradine Anpharm,Angina Pectoris;  Heart Failure,ivabradine,ivabradine,False,authorised,False,False,False,False,False,False,False,"""Anpharm"" Przedsiębiorstwo Farmaceutyczne S.A.",Other cardiac preparations,9.0
69,human,Simulect,Graft Rejection;  Kidney Transplantation,basiliximab,basiliximab,False,authorised,False,False,False,False,False,False,False,Novartis Europharm Limited,Immunosuppressants,27.0
70,human,Tafinlar,Melanoma,dabrafenib,dabrafenib mesilate,False,authorised,False,False,False,False,False,False,False,Novartis Europharm Limited,Antineoplastic agents,28.0
71,human,Temozolomide Hexal,Glioma;  Glioblastoma,temozolomide,temozolomide,False,withdrawn,False,True,False,False,False,False,False,Hexal AG,Antineoplastic agents,17.0
72,human,Invokana,"Diabetes Mellitus, Type 2",canagliflozin,canagliflozin,False,authorised,False,False,False,False,False,False,False,Janssen-Cilag International NV,Drugs used in diabetes,21.0
73,human,Tukysa,Breast Neoplasms;  Neoplasm Metastasis,tucatinib,tucatinib,False,authorised,True,False,False,False,False,False,False,Seagen B.V.,Antineoplastic agents,3.0
74,human,Vokanamet,"Diabetes Mellitus, Type 2","canagliflozin, metformin","canagliflozin, metformin hydrochloride",False,authorised,False,False,False,False,False,False,False,Janssen-Cilag International NV,Drugs used in diabetes,20.0
75,human,Mekinist,Melanoma,trametinib,trametinib,False,authorised,False,False,False,False,False,False,False,Novartis Europharm Limited,Antineoplastic agents,29.0
76,human,Ferriprox,beta-Thalassemia;  Iron Overload,deferiprone,deferiprone,False,authorised,False,False,False,False,False,False,False,Chiesi Farmaceutici S.p.A.,All other therapeutic products,32.0
77,human,Ikervis,Corneal Diseases,ciclosporin,ciclosporin,False,authorised,False,False,False,False,False,False,False,Santen Oy,Ophthalmologicals,10.0
78,human,NovoSeven,Hemophilia B;  Thrombasthenia;  Factor VII Deficiency;  Hemophilia A,eptacog alfa (activated),eptacog alfa (activated),False,authorised,False,False,False,False,False,False,False,Novo Nordisk A/S,Antihemorrhagics,38.0
79,human,Lokelma,Hyperkalemia,sodium zirconium cyclosilicate,sodium zirconium cyclosilicate,False,authorised,False,False,False,False,False,False,False,AstraZeneca AB,All other therapeutic products,8.0
80,human,Veltassa,Hyperkalemia,patiromer,patiromer sorbitex calcium,False,authorised,True,False,False,False,False,False,False,Vifor Fresenius Medical Care Renal Pharma France,Drugs for treatment of hyperkalemia and hyperphosphatemia,7.0
81,human,Pelmeg,Neutropenia,pegfilgrastim,pegfilgrastim,False,authorised,True,False,True,False,False,False,False,Mundipharma Corporation (Ireland) Limited,"Immunostimulants,",7.0
82,human,Cegfila (previously Pegfilgrastim Mundipharma),Neutropenia,pegfilgrastim,pegfilgrastim,False,authorised,True,False,True,False,False,False,False,Mundipharma Corporation (Ireland) Limited,"Immunostimulants,",7.0
83,human,Nyxoid,Opioid-Related Disorders,naloxone,naloxone hydrochloride dihydrate,False,authorised,False,False,False,False,False,False,False,Mundipharma Corporation (Ireland) Limited,All other therapeutic products,8.0
84,human,Fycompa,"Epilepsies, Partial",perampanel,perampanel,False,authorised,False,False,False,False,False,False,False,Eisai GmbH,"Antiepileptics, , Other antiepileptics",31.0
85,human,Aloxi,Vomiting;  Cancer,palonosetron,palonosetron hydrochloride,False,authorised,False,False,False,False,False,False,False,Helsinn Birex Pharmaceuticals Ltd.,"Antiemetics and antinauseants, , Serotonin (5HT3) antagonists",22.0
86,human,Dovprela (previously Pretomanid FGK),"Tuberculosis, Multidrug-Resistant",pretomanid,pretomanid,False,authorised,True,False,False,True,False,False,True,Mylan Ireland Limited,Antimycobacterials,7.0
87,human,Ulunar Breezhaler,"Pulmonary Disease, Chronic Obstructive","indacaterol, glycopyrronium bromide","glycopyrronium bromide, indacaterol maleate",False,authorised,False,False,False,False,False,False,False,Novartis Europharm Limited,"Drugs for obstructive airway diseases,",14.0
88,human,Telmisartan Actavis,Hypertension,telmisartan,telmisartan,False,authorised,False,True,False,False,False,False,False,Actavis Group PTC ehf,Agents acting on the renin-angiotensin system,11.0
89,human,Fulvestrant Mylan,Breast Neoplasms,fulvestrant,fulvestrant,False,authorised,False,True,False,False,False,False,False,Mylan Pharmaceuticals Limited,Endocrine therapy,5.0
90,human,Vizarsin,Erectile Dysfunction,sildenafil,sildenafil,False,authorised,False,True,False,False,False,False,False,"Krka, d.d., Novo mesto",Urologicals,19.0
91,human,Mounjaro,"Diabetes Mellitus, Type 2",tirzepatide,tirzepatide,False,authorised,False,False,False,False,False,False,False,Eli Lilly Nederland B.V.,Drugs used in diabetes,1.0
92,human,Rasilez,Hypertension,aliskiren,aliskiren,False,authorised,False,False,False,False,False,False,False,Noden Pharma DAC,Agents acting on the renin-angiotensin system,27.0
93,human,Evenity,Osteoporosis,romosozumab,romosozumab,False,authorised,True,False,False,False,False,False,False,UCB Pharma S.A.,Drugs for treatment of bone diseases,3.0
94,human,Qinlock,Gastrointestinal Stromal Tumors,ripretinib,ripretinib,False,authorised,True,False,False,False,False,False,True,Deciphera Pharmaceuticals (Netherlands) B.V.,Antineoplastic agents,2.0
95,human,Xarelto,"Arthroplasty, Replacement;  Venous Thromboembolism",rivaroxaban,rivaroxaban,False,authorised,False,False,False,False,False,False,False,Bayer AG,Antithrombotic agents,39.0
96,human,Rasagiline Mylan,Parkinson Disease,rasagiline,rasagiline tartrate,False,authorised,False,True,False,False,False,False,False,Mylan Pharmaceuticals Limited,Anti-Parkinson drugs,7.0
97,human,Zonegran,"Epilepsies, Partial",zonisamide,zonisamide,False,authorised,False,False,False,False,False,False,False,Amdipharm Limited,"Antiepileptics,",36.0
98,human,Vizamyl,Radionuclide Imaging;  Alzheimer Disease,flutemetamol (18f),flutemetamol (18f),False,authorised,False,False,False,False,False,False,False,GE Healthcare AS,Diagnostic radiopharmaceuticals,15.0
99,human,Anagrelide Mylan,"Thrombocythemia, Essential",anagrelide,anagrelide hydrochloride,False,authorised,False,True,False,False,False,False,False,Mylan Pharmaceuticals Limited,Antineoplastic agents,7.0
100,human,Stalevo,Parkinson Disease,"levodopa, carbidopa, entacapone","levodopa, carbidopa, entacapone",False,authorised,False,False,False,False,False,False,False,Orion Corporation,Anti-Parkinson drugs,29.0
101,human,Buccolam,Epilepsy,midazolam,midazolam,False,authorised,False,False,False,False,False,False,False,Laboratorios Lesvi S.L.,"Psycholeptics,",17.0
102,human,Qarziba (previously Dinutuximab beta EUSA and Dinutuximab beta Apeiron),Neuroblastoma,dinutuximab beta,dinutuximab beta,False,authorised,True,False,False,False,True,False,True,EUSA Pharma (Netherlands) BV,Antineoplastic agents,13.0
103,human,Inovelon,Epilepsy,rufinamide,rufinamide,False,authorised,False,False,False,False,False,False,False,Eisai GmbH,"Antiepileptics,",23.0
104,human,Azacitidine Mylan,"Myelodysplastic Syndromes;  Leukemia, Myelomonocytic, Chronic;  Leukemia, Myeloid, Acute",azacitidine,azacitidine,False,authorised,False,True,False,False,False,False,False,Mylan Ireland Limited,Antineoplastic agents,5.0
105,human,Zalasta,Schizophrenia;  Bipolar Disorder,olanzapine,olanzapine,False,authorised,False,True,False,False,False,False,False,Krka,"Psycholeptics,",20.0
106,human,Pemetrexed Krka,"Carcinoma, Non-Small-Cell Lung;  Mesothelioma",pemetrexed,pemetrexed disodium,False,authorised,False,True,False,False,False,False,False,KRKA d.d.,Antineoplastic agents,6.0
107,human,Ilumetri,Psoriasis,tildrakizumab,tildrakizumab,False,authorised,True,False,False,False,False,False,False,Almirall S.A,"Immunosuppressants, Interleukin inhibitors,",8.0
108,human,Dimethyl fumarate Accord,"Multiple Sclerosis, Relapsing-Remitting;  Multiple Sclerosis",dimethyl fumarate,dimethyl fumarate,False,authorised,False,True,False,False,False,False,False,Accord Healthcare S.L.U.,Immunosuppressants,
109,human,Olumiant,"Arthritis, Rheumatoid",baricitinib,baricitinib,True,authorised,False,False,False,False,False,False,False,Eli Lilly Nederland B.V.,Immunosuppressants,10.0
110,human,Temodal,Glioma;  Glioblastoma,temozolomide,temozolomide,False,authorised,False,False,False,False,False,False,False,Merck Sharp & Dohme B.V. ,Antineoplastic agents,36.0
111,human,Hyrimoz,"Arthritis, Rheumatoid;  Arthritis, Psoriatic;  Spondylitis, Ankylosing;  Uveitis;  Hidradenitis Suppurativa;  Colitis, Ulcerative;  Arthritis, Juvenile Rheumatoid;  Crohn Disease;  Skin Diseases, Papulosquamous",adalimumab,adalimumab,False,authorised,True,False,True,False,False,False,False,Sandoz GmbH,Immunosuppressants,10.0
112,human,Lamzede,alpha-Mannosidosis,velmanase alfa,velmanase alfa,False,authorised,True,False,False,False,True,False,True,Chiesi Farmaceutici S.p.A.,"Other alimentary tract and metabolism products,",6.0
113,human,Natpar,Hypoparathyroidism,parathyroid hormone,parathyroid hormone,False,authorised,True,False,False,True,False,False,True,Takeda Pharmaceuticals International AG Ireland Branch,Calcium homeostasis,14.0
114,human,Nimvastid,Dementia;  Alzheimer Disease;  Parkinson Disease,rivastigmine,rivastigmine,False,authorised,False,True,False,False,False,False,False,"Krka, d.d., Novo mesto","Psychoanaleptics,",10.0
115,human,Stocrin,HIV Infections,efavirenz,efavirenz,False,authorised,False,False,False,False,False,False,False,Merck Sharp & Dohme B.V.,Antivirals for systemic use,48.0
116,human,Tolura,Hypertension,telmisartan,telmisartan,False,authorised,False,True,False,False,False,False,False,"Krka, d.d., Novo mesto ","Angiotensin II antagonists, plain",11.0
117,human,Trodelvy,Breast Neoplasms;  Triple Negative Breast Neoplasms,sacituzumab govitecan,sacituzumab govitecan,False,authorised,True,False,False,False,False,False,False,Gilead Sciences Ireland UC,Antineoplastic agents,2.0
118,human,Yargesa,Gaucher Disease,miglustat,miglustat,False,authorised,False,True,False,False,False,False,False,Piramal Critical Care B.V.,"Other alimentary tract and metabolism products,",5.0
119,human,Verzenios,Breast Neoplasms,abemaciclib,abemaciclib,False,authorised,True,False,False,False,False,False,False,Eli Lilly Nederland B.V.,Antineoplastic agents,9.0
120,human,Taltz,Psoriasis,ixekizumab,ixekizumab,False,authorised,False,False,False,False,False,False,False,Eli Lilly and Company (Ireland) Limited,Immunosuppressants,17.0
121,human,Namuscla,Myotonic Disorders,mexiletine hcl,mexiletine hydrochloride,False,authorised,False,False,False,False,False,False,True,Lupin Europe GmbH,Cardiac therapy,5.0
122,human,Spikevax (previously COVID-19 Vaccine Moderna),COVID-19 virus infection,"elasomeran, imelasomeran and elasomeran, davesomeran and elasomeran, covid-19 mrna vaccine (nucleoside-modified)","cx-024414 (single-stranded, 5’-capped messenger rna (mrna) produced using a cell-free in vitro transcription from the corresponding dna templates, encoding the viral spike (s) protein of sars-cov-2)",True,authorised,True,False,False,False,False,False,False,"Moderna Biotech Spain, S.L.","Vaccines,",35.0
123,human,Pifeltro,HIV Infections,doravirine,doravirine,False,authorised,True,False,False,False,False,False,False,Merck Sharp & Dohme B.V.,Antivirals for systemic use,7.0
124,human,Delstrigo,HIV Infections,"doravirine, lamivudine, tenofovir disoproxil","doravirine, lamivudine, tenofovir disoproxil fumarate",False,authorised,True,False,False,False,False,False,False,Merck Sharp & Dohme B.V.,"Antivirals for treatment of HIV infections, combinations",10.0
125,human,Tezspire,Asthma,tezepelumab,tezepelumab,False,authorised,True,False,False,False,False,False,False,AstraZeneca AB,"Drugs for obstructive airway diseases,",2.0
126,human,Akynzeo,Vomiting;  Neoplasms;  Nausea;  Cancer,"netupitant, palonosetron","netupitant, palonosetron hydrochloride",False,authorised,False,False,False,False,False,False,False,Helsinn Birex Pharmaceuticals Ltd,"Antiemetics and antinauseants,",15.0
127,human,Nexpovio,Multiple Myeloma,selinexor,selinexor,False,authorised,True,False,False,False,False,False,False,Stemline Therapeutics B.V.,Antineoplastic agents,7.0
128,human,Piqray,Breast Neoplasms,alpelisib,alpelisib,False,authorised,True,False,False,False,False,False,False,Novartis Europharm Limited ,Antineoplastic agents,8.0
129,human,Cuprior,Hepatolenticular Degeneration,trientine,trientine tetrahydrochloride,False,authorised,False,False,False,False,False,False,False,GMP-Orphan SA,"Other alimentary tract and metabolism products,",6.0
130,human,Vaxzevria (previously COVID-19 Vaccine AstraZeneca),COVID-19 virus infection,covid-19 vaccine (chadox1-s [recombinant]),chadox1-sars-cov-2,True,authorised,True,False,False,False,False,False,False,AstraZeneca AB,"Vaccines,",26.0
131,human,Oxbryta,"Anemia;  Anemia, Hemolytic;  Anemia, Sickle Cell",voxelotor,voxelotor,False,authorised,True,False,False,False,False,False,True,Global Blood Therapeutics Netherlands B. V.,Other hematological agents,2.0
132,human,Nitisinone MDK (previously Nitisinone MendeliKABS),Tyrosinemias,nitisinone,nitisinone,False,authorised,False,True,False,False,False,False,False,MendeliKABS Europe Ltd,"Other alimentary tract and metabolism products,",6.0
133,human,Sapropterin Dipharma,Phenylketonurias,sapropterin,sapropterin dihydrochloride,False,authorised,False,True,False,False,False,False,False,Dipharma Arzneimittel GmbH,"Other alimentary tract and metabolism products,",3.0
134,human,Vaxelis,"Meningitis, Haemophilus;  Poliomyelitis;  Tetanus;  Diphtheria;  Whooping Cough;  Hepatitis B","diphtheria, tetanus, pertussis (acellular, component), hepatitis b (rdna), poliomyelitis (inactivated) and haemophilus type b conjugate vaccine (adsorbed)","diphtheria toxoid, tetanus toxoid, bordetella pertussis antigens: pertussis toxoid, filamentous haemagglutinin, pertactin, fimbriae types 2 and 3, hepatitis b surface antigen produced in yeast cells, poliovirus (inactivated): type 1 (mahoney), type 2 (mef-1), type 3 (saukett) produced in vero cells/ haemophilus influenzae type b polysaccharide (polyribosylribitol phosphate) conjugated to meningococcal protein.",False,authorised,False,False,False,False,False,False,False,MCM Vaccine B.V.,"Vaccines,",14.0
